Member_ID,Age,Zip_Code,Income_Bracket,Financial_Assistance_Flag,Check_In_Date
RIEC-CNA-101,24,02908,<$25k,True,2026-03-01
RIEC-EMT-202,31,02860,$25k-$50k,True,2026-03-01
RIEC-PHL-303,19,02904,<$25k,True,2026-03-02
RIEC-CNA-104,42,02909,$25k-$50k,False,2026-03-02
RIEC-EMT-205,28,02905,<$25k,True,2026-03-03
RIEC-CNA-101,24,02908,<$25k,True,2026-03-04
RIEC-PHL-306,35,02861,$50k-$75k,False,2026-03-04
RIEC-EMT-202,31,02860,$25k-$50k,True,2026-03-05
RIEC-CNA-107,22,02907,<$25k,True,2026-03-06
RIEC-PHL-308,45,02904,$25k-$50k,True,2026-03-06
RIEC-EMT-209,20,02860,<$25k,True,2026-03-07
RIEC-CNA-110,29,02909,$75k-$100k,False,2026-03-08
RIEC-PHL-303,19,02904,<$25k,True,2026-03-08
RIEC-EMT-211,38,02908,<$25k,True,2026-03-09
RIEC-CNA-101,24,02908,<$25k,True,2026-03-10
