Member_ID,Age,Zip_Code,Income_Bracket,Financial_Assistance_Flag,Check_In_Date
Y-1001,14,2904,$25k-$50k,TRUE,3/1/2026
Y-1002,34,2908,$75k-$100k,FALSE,3/1/2026
Y-1003,9,2860,<$25k,TRUE,3/2/2026
Y-1004,67,2903,$50k-$75k,FALSE,3/2/2026
Y-1001,14,2904,$25k-$50k,TRUE,3/3/2026
Y-1005,19,2904,<$25k,TRUE,3/4/2026
Y-1006,45,2860,$100k+,FALSE,3/4/2026
Y-1003,9,2860,<$25k,TRUE,3/5/2026
Y-1007,16,2908,$25k-$50k,TRUE,3/6/2026
Y-1008,28,2903,$75k-$100k,FALSE,3/6/2026
Y-1001,14,2904,$25k-$50k,TRUE,3/7/2026
Y-1009,71,2860,$50k-$75k,FALSE,3/8/2026
Y-1010,11,2908,<$25k,TRUE,3/8/2026
Y-1003,9,2860,<$25k,TRUE,3/9/2026
Y-1011,22,2904,$25k-$50k,TRUE,3/10/2026
